bag,status,eval_first_n_laps_time,race_start_cmd_t,eval_first_n_laps_end_t,eval_first_n_laps_end_gate,complete_laps_expected_order,ordered_passes,total_valid_passes,total_near_misses,sequence_breaks,min_ordered_clearance_m,mean_ordered_clearance_m,min_ordered_clearance_gate,min_ordered_clearance_per_gate_m,mean_ordered_clearance_per_gate_m,gate0_ordered_clearance_m,gate1_ordered_clearance_m,gate2_ordered_clearance_m,gate3_ordered_clearance_m,gate4_ordered_clearance_m,gate5_ordered_clearance_m,gate6_ordered_clearance_m,eval_start_to_first_gate_time,seg_start_0,seg_0_1,seg_1_2,seg_2_3,seg_3_4,seg_4_5,seg_5_6,seg_6_0,valid_per_gate,near_miss_per_gate,best_lap,mean_lap,median_lap,std_lap,fastest_n_lap_window_time,takeoff_to_n_laps_gate0_close,first_n_lap_sum_gate0_to_gate0,path_length_race,mean_speed,max_speed,mean_tilt,max_tilt,mean_body_rate_cmd,max_body_rate_cmd,mean_thrust,max_thrust,eval_segment_times,ordered_pass_details,bag_path
group30_powerloop-r1d1-gate3mask-fullswitch-twr1p87,OK,19.004,7.186,26.190,6,5,41,52,64,11,0.032,0.176,3,0.033 0.199 0.270 0.032 0.075 0.081 0.198,0.185 0.294 0.295 0.061 0.104 0.090 0.210,0.033 0.237 0.193 0.216 0.199 0.235,0.199 0.325 0.278 0.358 0.321 0.282,0.270 0.303 0.281 0.305 0.312 0.301,0.049 0.032 0.082 0.079 0.052 0.072,0.145 0.080 0.097 0.129 0.096 0.075,0.081 0.107 0.088 0.084 0.093 0.088,0.221 0.223 0.198 0.203 0.205,0.858,0.858,0.902,0.856,1.341,0.708,1.002,0.677,0.737,6 6 6 11 6 6 11,6 5 17 12 6 6 12,6.121,6.236,6.173,0.144,18.418,19.549,18.881,135.405,4.341,6.247,42.106,65.593,142.196,230.002,0.735,1.174,start->0:0.858 0->1:1.027 1->2:0.841 2->3:1.347 3->4:0.684 4->5:0.951 5->6:0.671 6->0:0.733 0->1:0.862 1->2:0.873 2->3:1.337 3->4:0.735 4->5:1.292 5->6:0.669 6->0:0.738 0->1:0.877 1->2:0.841 2->3:1.342 3->4:0.712 4->5:0.937 5->6:0.677,0:0.033 1:0.199 2:0.270 3:0.049 4:0.145 5:0.081 6:0.221 7:0.237 8:0.325 9:0.303 10:0.032 11:0.080 12:0.107 13:0.223 14:0.193 15:0.278 16:0.281 17:0.082 18:0.097 19:0.088 20:0.198 21:0.216 22:0.358 23:0.305 24:0.079 25:0.129 26:0.084 27:0.203 28:0.199 29:0.321 30:0.312 31:0.052 32:0.096 33:0.093 34:0.205 35:0.235 36:0.282 37:0.301 38:0.072 39:0.075 40:0.088,/home/peterni/Documents/ese6510/ese651_project/rosbags_apr22/group30_powerloop-r1d1-gate3mask-fullswitch-twr1p87
group30_powerloop-r1d1-gate3mask-fullswitch-twr1p87-speedv2-postloopvel,OK,,7.552,,,1,12,15,21,3,-0.040,0.151,4,0.204 0.064 0.074 0.291 -0.040 0.102 0.193,0.226 0.088 0.087 0.314 0.043 0.102 0.193,0.204 0.249,0.112 0.064,0.074 0.100,0.291 0.336,0.126 -0.040,0.102,0.193,0.831,0.831,1.054,1.544,1.601,0.816,1.028,0.773,0.708,2 2 2 3 2 1 3,2 1 5 4 1 4 4,6.707,6.707,6.707,0.000,,,,26.194,3.902,5.852,35.540,57.688,110.823,235.148,0.693,1.174,start->0:0.831 0->1:0.963 1->2:0.941 2->3:1.446 3->4:0.849 4->5:1.028 5->6:0.773 6->0:0.708 0->1:1.146 1->2:2.147 2->3:1.756 3->4:0.783,0:0.204 1:0.112 2:0.074 3:0.291 4:0.126 5:0.102 6:0.193 7:0.249 8:0.064 9:0.100 10:0.336 11:-0.040,/home/peterni/Documents/ese6510/ese651_project/rosbags_apr22/group30_powerloop-r1d1-gate3mask-fullswitch-twr1p87-speedv2-postloopvel
group30_powerloop-r1d1-gate3mask-fullswitch-twr1p87-speedv4-currentvel-g560,OK,,,,,4,30,38,45,8,0.110,0.246,4,0.167 0.285 0.207 0.281 0.110 0.139 0.154,0.241 0.391 0.252 0.313 0.131 0.183 0.172,0.444 0.167 0.191 0.204 0.199,0.285 0.411 0.424 0.407 0.430,0.346 0.207 0.216 0.240,0.388 0.281 0.284 0.299,0.149 0.110 0.133 0.133,0.171 0.139 0.220 0.203,0.178 0.180 0.154 0.174,,,0.972,0.897,1.516,0.805,0.950,0.783,0.859,5 5 4 8 4 4 8,5 4 12 8 4 4 8,6.659,6.791,6.752,0.128,20.163,20.928,20.400,105.582,3.885,5.928,36.543,60.035,,,,,,0:0.444 1:0.285 2:0.346 3:0.388 4:0.149 5:0.171 6:0.178 7:0.167 8:0.411 9:0.207 10:0.281 11:0.110 12:0.139 13:0.180 14:0.191 15:0.424 16:0.216 17:0.284 18:0.133 19:0.220 20:0.154 21:0.204 22:0.407 23:0.240 24:0.299 25:0.133 26:0.203 27:0.174 28:0.199 29:0.430,/home/peterni/Documents/ese6510/ese651_project/rosbags_apr22/group30_powerloop-r1d1-gate3mask-fullswitch-twr1p87-speedv4-currentvel-g560
